skill,call_time,count(*)
7001,00:42:45,1
7017,09:02:37,1
7017,09:03:13,1
7017,09:03:46,1
7017,09:04:52,1
7017,09:05:14,1
7017,09:05:22,1
7017,09:05:44,1
7017,09:06:06,1
7017,09:06:20,1
7017,09:07:23,1
7017,09:07:35,1
7017,09:08:06,2
7017,09:08:30,1
7017,09:08:57,1
7017,09:09:03,2
7017,09:09:41,1
7017,09:10:43,1
7017,09:11:04,1
7017,09:11:08,1
7017,09:12:05,1
7017,09:12:25,1
7017,09:12:26,1
7017,09:12:38,1
7017,09:12:50,1
7017,09:13:00,2
7017,09:13:12,1
7017,09:13:18,1
7017,09:13:56,1
7017,09:13:58,1
7017,09:14:07,2
7017,09:14:10,1
7017,09:14:29,1
7017,09:14:40,2
7017,09:15:07,1
7017,09:15:08,1
7017,09:15:18,1
7017,09:15:42,1
7017,09:16:26,1
7017,09:16:44,1
7017,09:17:06,1
7017,09:17:09,1
7017,09:17:20,1
7017,09:17:21,1
7017,09:18:05,1
7017,09:18:28,1
7017,09:18:30,1
7017,09:19:05,2
7017,09:19:27,1
7017,09:19:38,1
7017,09:19:44,2
7017,09:19:58,1
7017,09:20:11,2
7017,09:20:22,2
7017,09:20:55,2
7017,09:20:59,1
7017,09:21:08,1
7017,09:21:15,2
7017,09:21:33,1
7017,09:21:43,1
7017,09:21:52,3
7017,09:22:14,1
7017,09:22:24,1
7017,09:22:29,1
7017,09:22:43,1
7017,09:22:51,2
7017,09:22:52,1
7017,09:23:13,1
7017,09:23:19,2
7017,09:23:25,1
7017,09:23:31,1
7017,09:24:03,1
7017,09:24:14,1
7017,09:24:25,1
7017,09:24:32,1
7017,09:24:43,2
7017,09:24:56,1
7017,09:24:59,1
7017,09:25:10,1
7017,09:25:18,1
7017,09:25:21,1
7017,09:25:29,2
7017,09:26:03,1
7017,09:27:04,1
7017,09:27:27,1
7017,09:27:37,1
7017,09:28:10,1
7017,09:28:48,1
7017,09:29:10,1
7017,09:29:32,1
7017,09:29:54,1
7017,09:30:16,2
7017,09:30:54,1
7017,09:31:11,1
7017,09:31:19,1
7017,09:31:32,1
7017,09:31:44,1
7017,09:32:05,1
7017,09:32:31,1
7017,09:32:50,1
7017,09:33:23,1
7017,09:33:44,1
7017,09:33:55,1
7017,09:34:59,1
7017,09:35:29,1
7017,09:35:49,1
7017,09:36:02,1
7017,09:36:11,1
7017,09:36:12,1
7017,09:36:33,1
7017,09:36:36,1
7017,09:36:37,1
7017,09:36:57,1
7017,09:37:13,1
7017,09:37:20,1
7017,09:37:31,1
7017,09:37:33,1
7017,09:37:50,1
7017,09:38:09,2
7017,09:38:44,1
7017,09:38:58,1
7017,09:39:04,1
7017,09:39:15,1
7017,09:39:25,1
7017,09:39:32,2
7017,09:39:37,1
7017,09:39:43,1
7017,09:40:07,1
7017,09:40:16,3
7017,09:40:21,1
7017,09:40:49,1
7017,09:41:02,1
7017,09:41:27,2
7017,09:41:54,1
7017,09:42:05,1
7017,09:42:54,1
7017,09:43:02,1
7017,09:43:33,1
7017,09:43:45,1
7017,09:44:26,1
7017,09:45:10,1
7017,09:45:23,1
7017,09:45:34,1
7017,09:45:45,1
7017,09:45:48,1
7017,09:45:56,1
7017,09:45:59,2
7017,09:46:06,1
7017,09:46:43,1
7017,09:46:47,1
7017,09:47:05,1
7017,09:47:11,1
7017,09:47:21,1
7017,09:47:30,1
7017,09:47:41,1
7017,09:47:44,1
7017,09:47:57,1
7017,09:48:14,2
7017,09:48:16,1
7017,09:48:36,1
7017,09:48:37,1
7017,09:48:38,1
7017,09:48:48,1
7017,09:49:10,1
7017,09:49:39,1
7017,09:49:44,1
7017,09:50:23,1
7017,09:50:34,1
7017,09:50:41,1
7017,09:50:50,1
7017,09:51:02,1
7017,09:51:43,2
7017,09:52:16,1
7017,09:52:37,1
7017,09:52:44,1
7017,09:52:52,1
7017,09:53:11,1
7017,09:53:15,1
7017,09:53:37,1
7017,09:57:10,1
7017,09:57:12,1
7017,09:57:21,1
7017,09:57:30,2
7017,09:57:43,1
7017,09:58:03,1
7017,09:58:15,1
7017,09:58:25,1
7017,09:58:31,1
